"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"BSX";"Boston Scientific";"Health Care";39.57;1.5657101;10352938;2.605;NA
"BWA";"BorgWarner";"Consumer Discretionary";43.44;0.7888635;2439885;1.76;0.68
"BXP";"Boston Properties";"Real Estate";95.35;3.5062914;1132034;5.54;3.92
"C";"Citigroup Inc.";"Financials";63.65;1.7098109;15043232;4.874;2.04
"CAG";"Conagra Brands";"Consumer Staples";34.8;0.5199316;3250476;2.271;0.912
"CAH";"Cardinal Health Inc.";"Health Care";52.91;-2.4880178;4018414;4.705;1.939
"CARR";"Carrier Global";"Industrials";39.7;1.4048511;4543190;NA;NA
"CAT";"Caterpillar Inc.";"Industrials";197.45;2.305698;2718875;5.46;4.12
"CB";"Chubb Limited";"Financials";166.18;2.2331526;2055993;7.79;3.09
"CBOE";"Cboe Global Markets";"Financials";92.01;2.7356;1263457;4.555;1.08
"CBRE";"CBRE Group";"Real Estate";67.93;0.75645524;810817;3.187;NA
"CCI";"Crown Castle International Corp.";"Real Estate";160.9;-0.83816135;2553976;2.35;4.93
"CCL";"Carnival Corp.";"Consumer Discretionary";21.61;1.4077952;22128665;-13.208;0.5
"CDNS";"Cadence Design Systems";"Information Technology";137.58;1.3107502;1102253;3.857;NA
"CDW";"CDW";"Information Technology";150.39;-0.3841835;1436353;5.07;1.52
"CE";"Celanese";"Materials";130.04;2.6847708;680647;16.749;2.48
"CERN";"Cerner";"Health Care";78.5;-1.6537204;2371715;2.559;0.72
"CF";"CF Industries Holdings Inc";"Materials";43.97;1.9239727;1443705;1.322;1.2
"CFG";"Citizens Financial Group";"Financials";40.48;1.3520304;2908189;2.22;1.56
"CHD";"Church & Dwight";"Consumer Staples";82.33;-0.6516241;1133476;3.12;0.96
"CHRW";"C. H. Robinson Worldwide";"Industrials";89.97;1.2719551;1025246;3.72;2.04
"CHTR";"Charter Communications";"Communication Services";615.53;-0.34323564;957844;15.4;NA
"CI";"CIGNA Corp.";"Health Care";206.05;1.2879174;1897637;22.959;0.04
"CINF";"Cincinnati Financial";"Financials";87.66;1.0956113;500291;4.871;2.36
"CL";"Colgate-Palmolive";"Consumer Staples";79.7;-0.21285312;3828281;3.14;1.75
"CLX";"The Clorox Company";"Consumer Staples";190;-0.6535948;2332473;9.557;4.39
"CMA";"Comerica Inc.";"Financials";63.2;0.89399964;797509;3.27;2.72
"CMCSA";"Comcast Corp.";"Communication Services";51.85;1.4478533;14767124;2.28;0.92
"CME";"CME Group Inc.";"Financials";191.74;0.18287586;2071079;6;3.3
"CMG";"Chipotle Mexican Grill";"Consumer Discretionary";1504;-0.19112371;208661;12.52;NA
"CMI";"Cummins Inc.";"Industrials";238.61;3.910637;1348723;12.01;5.283
"CMS";"CMS Energy";"Utilities";56.44;-1.7580541;2412334;2.64;1.63
"CNC";"Centene Corporation";"Health Care";58.24;-1.0869554;4190564;3.772;NA
"CNP";"CenterPoint Energy";"Utilities";21.03;-1.7289671;3872923;-1.882;0.877
"COF";"Capital One Financial";"Financials";116;1.3277398;3391007;5.183;1
"COG";"Cabot Oil & Gas";"Energy";17.81;1.4236903;5942989;0.532;0.4
"COO";"The Cooper Companies";"Health Care";384.92;-0.5297536;140366;4.81;0.06
"COP";"ConocoPhillips";"Energy";46.78;5.312924;12177791;-2.51;1.69
"COST";"Costco Wholesale Corp.";"Consumer Staples";359.83;1.3120402;2520650;9.74;2.75
"CPB";"Campbell Soup";"Consumer Staples";47.12;-0.8000023;1956715;5.825;1.4
"CPRT";"Copart Inc";"Industrials";120.78;1.1642511;1043877;2.851;NA
"CRM";"Salesforce.com";"Information Technology";238.93;0.016741298;4332941;3.858;NA
"CSCO";"Cisco Systems";"Information Technology";48.94;1.7886788;25215439;2.47;1.43
"CSX";"CSX Corp.";"Industrials";87.26;-1.456805;5056525;3.6;1.04
"CTAS";"Cintas Corporation";"Industrials";349.15;1.2087607;333601;8.915;3.51
"CTLT";"Catalent";"Health Care";113.5;-0.02642366;632232;1.805;NA
"CTSH";"Cognizant Technology Solutions";"Information Technology";75.85;1.8120785;2498603;2.57;0.88
"CTVA";"Corteva";"Materials";43.61;-0.66059434;2719120;-1.28;0.26
"CTXS";"Citrix Systems";"Information Technology";134.07;1.7068729;905156;3.999;1.4
"CVS";"CVS Health";"Health Care";72.98;1.1083444;5820896;6.05;2
"CVX";"Chevron Corp.";"Energy";91.48;2.4871175;9880942;-2.964;5.16
"D";"Dominion Energy";"Utilities";73.83;0.12205583;3007696;-0.22;3.737
"DAL";"Delta Air Lines Inc.";"Industrials";43.24;5.0789795;18273988;-19.49;0.403
"DD";"DuPont de Nemours Inc";"Materials";75.76;-0.10547759;11768896;-4.066;1.2
"DE";"Deere & Co.";"Industrials";317.04;2.5223188;962184;8.69;3.04
"DFS";"Discover Financial Services";"Financials";94.34;1.615683;2465323;3.596;1.76
"DG";"Dollar General";"Consumer Discretionary";198.38;2.3526971;3475134;10.101;1.4
"DGX";"Quest Diagnostics";"Health Care";121.64;-0.12316407;1571966;10.47;2.24
"DHI";"D. R. Horton";"Consumer Discretionary";82.96;3.6740847;2487784;7.396;0.725
"DHR";"Danaher Corp.";"Health Care";235.65;0.025466938;1548952;4.89;0.72
"DIS";"The Walt Disney Company";"Communication Services";190;4.8796625;16021107;-1.588;0.88
"DISCA";"Discovery, Inc. (Series A)";"Communication Services";43.25;1.3592731;7198268;1.805;NA
"DISCK";"Discovery, Inc. (Series C)";"Communication Services";37;1.5925367;3829516;1.805;NA
"DISH";"Dish Network";"Communication Services";31.52;0.9932758;2060634;2.455;NA
"DLR";"Digital Realty Trust Inc";"Real Estate";146.37;0.5564699;1025239;2.174;4.44
"DLTR";"Dollar Tree";"Consumer Discretionary";107.07;1.3488599;1681916;4.049;NA
"DOV";"Dover Corporation";"Industrials";120.89;-0.14042473;724469;4.7;1.97
"DOW";"Dow Inc.";"Materials";57.35;0.1921677;2542633;1.64;2.8
"DPZ";"Domino's Pizza";"Consumer Discretionary";380.06;0.7502018;443457;11.685;2.99
"DRE";"Duke Realty Corp";"Real Estate";41.61;0.55582297;1063899;0.805;0.98
"DRI";"Darden Restaurants";"Consumer Discretionary";130.27;-1.2956444;1036324;-0.917;1.18
"DTE";"DTE Energy Co.";"Utilities";121;-0.5915225;826356;7.066;4.05
"DUK";"Duke Energy";"Utilities";93.6;-1.2032926;2086347;2.729;3.8
"DVA";"DaVita Inc.";"Health Care";110.2;0.93423396;1296071;6.679;NA
"DVN";"Devon Energy";"Energy";18.75;4.7486057;10307872;-8.567;0.4
"DXC";"DXC Technology";"Information Technology";25.48;-1.7733269;4159190;-11.209;0
"DXCM";"DexCom";"Health Care";403.3;-1.8806441;870500;2.419;NA
"EA";"Electronic Arts";"Communication Services";142.46;0.8780665;2097136;4.045;0.17
"EBAY";"eBay Inc.";"Consumer Discretionary";63.84;2.5871775;9021363;7.892;0.64
"ECL";"Ecolab Inc.";"Materials";217.05;2.0067697;753990;-3.739;1.88
"ED";"Consolidated Edison";"Utilities";71.28;-0.30769402;1817458;4.053;3.035
"EFX";"Equifax Inc.";"Industrials";179.41;0.43103686;985658;3.616;1.56
